DATAFLOW,LAST UPDATE,freq,indic_bt,nace_r2,s_adj,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:STS_INPR_M(1.0),05/12/25 11:00:00,Monthly,Production (volume),"Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply",Seasonally and calendar adjusted data,"Index, 2021=100",Euro area – 20 countries (from 2023),2007-12,103.5,,
ESTAT:STS_INPR_M(1.0),05/12/25 11:00:00,Monthly,Production (volume),"Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply",Seasonally and calendar adjusted data,"Index, 2021=100",Euro area – 20 countries (from 2023),2008-01,104.6,,
ESTAT:STS_INPR_M(1.0),05/12/25 11:00:00,Monthly,Production (volume),"Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply",Seasonally and calendar adjusted data,"Index, 2021=100",Euro area – 20 countries (from 2023),2008-02,104.6,,
ESTAT:STS_INPR_M(1.0),05/12/25 11:00:00,Monthly,Production (volume),"Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply",Seasonally and calendar adjusted data,"Index, 2021=100",Euro area – 20 countries (from 2023),2008-03,103.8,,
ESTAT:STS_INPR_M(1.0),05/12/25 11:00:00,Monthly,Production (volume),"Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply",Seasonally and calendar adjusted data,"Index, 2021=100",Euro area – 20 countries (from 2023),2008-04,105.3,,
ESTAT:STS_INPR_M(1.0),05/12/25 11:00:00,Monthly,Production (volume),"Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply",Seasonally and calendar adjusted data,"Index, 2021=100",Euro area – 20 countries (from 2023),2008-05,101.9,,
ESTAT:STS_INPR_M(1.0),05/12/25 11:00:00,Monthly,Production (volume),"Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply",Seasonally and calendar adjusted data,"Index, 2021=100",Euro area – 20 countries (from 2023),2008-06,102.2,,
ESTAT:STS_INPR_M(1.0),05/12/25 11:00:00,Monthly,Production (volume),"Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply",Seasonally and calendar adjusted data,"Index, 2021=100",Euro area – 20 countries (from 2023),2008-07,101.3,,
ESTAT:STS_INPR_M(1.0),05/12/25 11:00:00,Monthly,Production (volume),"Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply",Seasonally and calendar adjusted data,"Index, 2021=100",Euro area – 20 countries (from 2023),2008-08,100.8,,
ESTAT:STS_INPR_M(1.0),05/12/25 11:00:00,Monthly,Production (volume),"Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply",Seasonally and calendar adjusted data,"Index, 2021=100",Euro area – 20 countries (from 2023),2008-09,100.0,,
ESTAT:STS_INPR_M(1.0),05/12/25 11:00:00,Monthly,Production (volume),"Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply",Seasonally and calendar adjusted data,"Index, 2021=100",Euro area – 20 countries (from 2023),2008-10,97.9,,
ESTAT:STS_INPR_M(1.0),05/12/25 11:00:00,Monthly,Production (volume),"Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply",Seasonally and calendar adjusted data,"Index, 2021=100",Euro area – 20 countries (from 2023),2008-11,94.3,,
ESTAT:STS_INPR_M(1.0),05/12/25 11:00:00,Monthly,Production (volume),"Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply",Seasonally and calendar adjusted data,"Index, 2021=100",Euro area – 20 countries (from 2023),2008-12,90.5,,
ESTAT:STS_INPR_M(1.0),05/12/25 11:00:00,Monthly,Production (volume),"Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply",Seasonally and calendar adjusted data,"Index, 2021=100",Euro area – 20 countries (from 2023),2009-01,86.7,,
ESTAT:STS_INPR_M(1.0),05/12/25 11:00:00,Monthly,Production (volume),"Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply",Seasonally and calendar adjusted data,"Index, 2021=100",Euro area – 20 countries (from 2023),2009-02,84.7,,
ESTAT:STS_INPR_M(1.0),05/12/25 11:00:00,Monthly,Production (volume),"Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply",Seasonally and calendar adjusted data,"Index, 2021=100",Euro area – 20 countries (from 2023),2009-03,83.6,,
ESTAT:STS_INPR_M(1.0),05/12/25 11:00:00,Monthly,Production (volume),"Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply",Seasonally and calendar adjusted data,"Index, 2021=100",Euro area – 20 countries (from 2023),2009-04,82.5,,
ESTAT:STS_INPR_M(1.0),05/12/25 11:00:00,Monthly,Production (volume),"Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply",Seasonally and calendar adjusted data,"Index, 2021=100",Euro area – 20 countries (from 2023),2009-05,84.5,,
ESTAT:STS_INPR_M(1.0),05/12/25 11:00:00,Monthly,Production (volume),"Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply",Seasonally and calendar adjusted data,"Index, 2021=100",Euro area – 20 countries (from 2023),2009-06,85.0,,
ESTAT:STS_INPR_M(1.0),05/12/25 11:00:00,Monthly,Production (volume),"Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply",Seasonally and calendar adjusted data,"Index, 2021=100",Euro area – 20 countries (from 2023),2009-07,85.3,,
ESTAT:STS_INPR_M(1.0),05/12/25 11:00:00,Monthly,Production (volume),"Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply",Seasonally and calendar adjusted data,"Index, 2021=100",Euro area – 20 countries (from 2023),2009-08,85.4,,
ESTAT:STS_INPR_M(1.0),05/12/25 11:00:00,Monthly,Production (volume),"Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply",Seasonally and calendar adjusted data,"Index, 2021=100",Euro area – 20 countries (from 2023),2009-09,87.4,,
ESTAT:STS_INPR_M(1.0),05/12/25 11:00:00,Monthly,Production (volume),"Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply",Seasonally and calendar adjusted data,"Index, 2021=100",Euro area – 20 countries (from 2023),2009-10,87.1,,
ESTAT:STS_INPR_M(1.0),05/12/25 11:00:00,Monthly,Production (volume),"Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply",Seasonally and calendar adjusted data,"Index, 2021=100",Euro area – 20 countries (from 2023),2009-11,87.5,,
ESTAT:STS_INPR_M(1.0),05/12/25 11:00:00,Monthly,Production (volume),"Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply",Seasonally and calendar adjusted data,"Index, 2021=100",Euro area – 20 countries (from 2023),2009-12,87.3,,
ESTAT:STS_INPR_M(1.0),05/12/25 11:00:00,Monthly,Production (volume),"Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply",Seasonally and calendar adjusted data,"Index, 2021=100",Euro area – 20 countries (from 2023),2010-01,88.8,,
ESTAT:STS_INPR_M(1.0),05/12/25 11:00:00,Monthly,Production (volume),"Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply",Seasonally and calendar adjusted data,"Index, 2021=100",Euro area – 20 countries (from 2023),2010-02,88.3,,
ESTAT:STS_INPR_M(1.0),05/12/25 11:00:00,Monthly,Production (volume),"Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply",Seasonally and calendar adjusted data,"Index, 2021=100",Euro area – 20 countries (from 2023),2010-03,90.1,,
ESTAT:STS_INPR_M(1.0),05/12/25 11:00:00,Monthly,Production (volume),"Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply",Seasonally and calendar adjusted data,"Index, 2021=100",Euro area – 20 countries (from 2023),2010-04,90.3,,
ESTAT:STS_INPR_M(1.0),05/12/25 11:00:00,Monthly,Production (volume),"Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply",Seasonally and calendar adjusted data,"Index, 2021=100",Euro area – 20 countries (from 2023),2010-05,92.3,,
ESTAT:STS_INPR_M(1.0),05/12/25 11:00:00,Monthly,Production (volume),"Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply",Seasonally and calendar adjusted data,"Index, 2021=100",Euro area – 20 countries (from 2023),2010-06,92.3,,
ESTAT:STS_INPR_M(1.0),05/12/25 11:00:00,Monthly,Production (volume),"Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply",Seasonally and calendar adjusted data,"Index, 2021=100",Euro area – 20 countries (from 2023),2010-07,91.8,,
ESTAT:STS_INPR_M(1.0),05/12/25 11:00:00,Monthly,Production (volume),"Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply",Seasonally and calendar adjusted data,"Index, 2021=100",Euro area – 20 countries (from 2023),2010-08,92.9,,
ESTAT:STS_INPR_M(1.0),05/12/25 11:00:00,Monthly,Production (volume),"Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply",Seasonally and calendar adjusted data,"Index, 2021=100",Euro area – 20 countries (from 2023),2010-09,92.8,,
ESTAT:STS_INPR_M(1.0),05/12/25 11:00:00,Monthly,Production (volume),"Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply",Seasonally and calendar adjusted data,"Index, 2021=100",Euro area – 20 countries (from 2023),2010-10,93.6,,
ESTAT:STS_INPR_M(1.0),05/12/25 11:00:00,Monthly,Production (volume),"Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply",Seasonally and calendar adjusted data,"Index, 2021=100",Euro area – 20 countries (from 2023),2010-11,94.5,,
ESTAT:STS_INPR_M(1.0),05/12/25 11:00:00,Monthly,Production (volume),"Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply",Seasonally and calendar adjusted data,"Index, 2021=100",Euro area – 20 countries (from 2023),2010-12,95.2,,
ESTAT:STS_INPR_M(1.0),05/12/25 11:00:00,Monthly,Production (volume),"Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply",Seasonally and calendar adjusted data,"Index, 2021=100",Euro area – 20 countries (from 2023),2011-01,94.7,,
ESTAT:STS_INPR_M(1.0),05/12/25 11:00:00,Monthly,Production (volume),"Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply",Seasonally and calendar adjusted data,"Index, 2021=100",Euro area – 20 countries (from 2023),2011-02,95.6,,
ESTAT:STS_INPR_M(1.0),05/12/25 11:00:00,Monthly,Production (volume),"Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply",Seasonally and calendar adjusted data,"Index, 2021=100",Euro area – 20 countries (from 2023),2011-03,95.7,,
ESTAT:STS_INPR_M(1.0),05/12/25 11:00:00,Monthly,Production (volume),"Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply",Seasonally and calendar adjusted data,"Index, 2021=100",Euro area – 20 countries (from 2023),2011-04,95.3,,
ESTAT:STS_INPR_M(1.0),05/12/25 11:00:00,Monthly,Production (volume),"Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply",Seasonally and calendar adjusted data,"Index, 2021=100",Euro area – 20 countries (from 2023),2011-05,96.0,,
ESTAT:STS_INPR_M(1.0),05/12/25 11:00:00,Monthly,Production (volume),"Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply",Seasonally and calendar adjusted data,"Index, 2021=100",Euro area – 20 countries (from 2023),2011-06,94.5,,
